variable,bin,model,n_flights,small_sample_warning,mae_mah,mean_signed_error_mah,mean_underprediction_mah,p95_underprediction_mah
altitude,mid,xgboost__f0_route_and_wind,15,False,79.57513993864873,-2.03034671499704,40.802743326822885,203.3537237548826
altitude,high,ridge__f1_vehicle_symptoms,12,False,54.66165893143667,28.415852202762192,13.122903364337239,58.95243948862324
altitude,low,ridge__f1_vehicle_symptoms,12,False,49.98935599083618,-13.206301695737105,31.597828843286646,96.31406480740598
altitude,mid,ridge__f1_vehicle_symptoms,15,False,96.39771131054626,13.641090336000131,41.37831048727306,169.49442619330466
altitude,high,neural_network__f1_vehicle_symptoms,12,False,36.1248546815726,6.810618063485028,14.657118309043787,50.57683029637824
altitude,low,neural_network__f1_vehicle_symptoms,12,False,38.33813644341431,18.345179842961084,9.996478300226613,47.752987131445394
altitude,mid,neural_network__f1_vehicle_symptoms,15,False,71.45529124349414,-2.484222942809537,36.96975709315184,125.61357126515031
altitude,high,xgboost__f1_vehicle_symptoms,12,False,54.930530166625964,-46.68846575419108,50.80949796040852,139.33089843749977
altitude,low,xgboost__f1_vehicle_symptoms,12,False,25.886334320993132,5.4860925469516815,10.200120887020725,36.77232214557239
altitude,mid,xgboost__f1_vehicle_symptoms,15,False,101.79324703500289,8.93049312875296,46.43137695312497,240.90185607910144
altitude,high,ridge__f2_physics_informed,12,False,22.947216903812176,11.735966511388776,5.6056251962117,19.5088724604731
altitude,low,ridge__f2_physics_informed,12,False,26.31202660352571,-6.398696317205473,16.35536146036559,56.645326000273
altitude,mid,ridge__f2_physics_informed,15,False,41.259443544020634,-12.636929549001252,26.948186546510943,108.42669655234715
altitude,high,neural_network__f2_physics_informed,12,False,26.581387075146058,0.7811535591052726,12.900116758020394,36.23736565357161
altitude,low,neural_network__f2_physics_informed,12,False,34.10586895345208,8.01449533725912,13.045686808096482,39.09887034704829
altitude,mid,neural_network__f2_physics_informed,15,False,42.41067014412253,-28.06485558630123,35.23776286521188,108.10342919029199
altitude,high,xgboost__f2_physics_informed,12,False,37.29305076599129,-16.634795506795246,26.963923136393266,98.58809692382806
altitude,low,xgboost__f2_physics_informed,12,False,40.07144266343973,1.533471086990745,19.268985788224494,69.86609664916995
altitude,mid,xgboost__f2_physics_informed,15,False,57.562655807789284,-10.73413089468454,34.14839335123691,149.49076477050755
altitude,high,neural_network_true_wind_oracle,12,False,25.614424414503343,1.5623590469891064,12.026032683757117,32.19645464813223
altitude,low,neural_network_true_wind_oracle,12,False,31.68199564471764,11.210667915571634,10.235663864573004,36.67893915457619
altitude,mid,neural_network_true_wind_oracle,15,False,43.825627570048,-10.667662365528592,27.246644967788296,108.6445610752616
altitude,high,xgboost_true_wind_oracle,12,False,42.86320355733236,-4.683496475219727,23.773350016276044,82.13141723632785
altitude,low,xgboost_true_wind_oracle,12,False,38.069639074572535,-15.358756085860819,26.714197580216677,79.73549780475201
altitude,mid,xgboost_true_wind_oracle,15,False,62.013243850413694,-12.463419631663706,37.2383317410387,137.09381652832002
ekf_wind_error,low,training_mean,13,False,427.2446367496858,-107.94653325304846,267.5955850013671,851.6867445644807
ekf_wind_error,mid,training_mean,12,False,332.5752871594811,181.77040296842083,75.4024420955301,253.99785854183446
ekf_wind_error,high,training_mean,14,False,417.03524246603354,-23.33003902423269,220.18264074513309,607.6299769863558
ekf_wind_error,low,nominal_time_x_current,13,False,167.3941577379813,-95.44510658729541,131.41963216263832,394.05279935609286
ekf_wind_error,mid,nominal_time_x_current,12,False,110.87685163689207,-90.86338021444318,100.87011592566762,250.61127845341156
ekf_wind_error,high,nominal_time_x_current,14,False,217.16708975505637,-217.16708975505637,217.16708975505637,439.5413476652034
ekf_wind_error,low,px4_style_multicopter_time_x_current,13,False,219.02481941568345,-219.02481941568345,219.02481941568345,517.2146179200438
ekf_wind_error,mid,px4_style_multicopter_time_x_current,12,False,135.5266065132358,-135.5266065132358,135.5266065132358,200.17436110238788
ekf_wind_error,high,px4_style_multicopter_time_x_current,14,False,107.37183789253909,-107.37183789253909,107.37183789253909,161.46620261171466
ekf_wind_error,low,ridge__f0_route_and_wind,13,False,97.0030731764331,-29.68833773674328,63.34570545658819,219.04719004950812
ekf_wind_error,mid,ridge__f0_route_and_wind,12,False,51.166933075113455,20.153511828243932,15.506710623434762,49.93192805837357
ekf_wind_error,high,ridge__f0_route_and_wind,14,False,61.94183525960801,20.448458276477783,20.746688491565116,90.75213589254102
ekf_wind_error,low,neural_network__f0_route_and_wind,13,False,49.35223043178825,0.15580939012528022,24.598210520831483,125.97497695999724
ekf_wind_error,mid,neural_network__f0_route_and_wind,12,False,27.950314568862627,21.744258292832473,3.103028138015077,16.756351945281388
ekf_wind_error,high,neural_network__f0_route_and_wind,14,False,38.39974101498673,25.97522980706396,6.212255603961386,41.36101973648962
ekf_wind_error,low,xgboost__f0_route_and_wind,13,False,100.00507753036314,-38.05652884782225,69.0308031890927,209.61415283203104
ekf_wind_error,mid,xgboost__f0_route_and_wind,12,False,41.77855652948386,-3.2423953137778674,22.51047592163086,69.18989624023428
ekf_wind_error,high,xgboost__f0_route_and_wind,14,False,37.598803492954815,-3.634260559082033,20.616532026018426,74.84329101562484
ekf_wind_error,low,ridge__f1_vehicle_symptoms,13,False,96.94328050723726,-7.378529250680379,52.16090487895882,205.9371907237773
ekf_wind_error,mid,ridge__f1_vehicle_symptoms,12,False,47.955801799039754,22.893642477140087,12.531079660949834,45.182280226534886
